AXISBANK | Financial Sector | High leverage warning suppressed
PFC | Financial Sector | High leverage warning suppressed
PFC | Financial Sector | High leverage warning suppressed
PFC | Financial Sector | High leverage warning suppressed
PFC | Financial Sector | High leverage warning suppressed
PFC | Financial Sector | High leverage warning suppressed
PFC | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
PNB | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
RECLTD | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBILIFE | Financial Sector | High leverage warning suppressed
SBIN | Financial Sector | High leverage warning suppressed
SHRIRAMFIN | Financial Sector | High leverage warning suppressed
ABB | ROCE mismatch | Source=46.0 Calculated=31.22 Difference=14.78
ABB | ROCE mismatch | Source=46.0 Calculated=33.88 Difference=12.12
ABB | ROCE mismatch | Source=46.0 Calculated=33.88 Difference=12.12
ABB | ROCE mismatch | Source=46.0 Calculated=33.3 Difference=12.70
ABB | ROCE mismatch | Source=46.0 Calculated=33.3 Difference=12.70
ABB | ROCE mismatch | Source=46.0 Calculated=30.54 Difference=15.46
ABB | ROCE mismatch | Source=46.0 Calculated=30.54 Difference=15.46
ABB | ROCE mismatch | Source=46.0 Calculated=28.7 Difference=17.30
ABB | ROCE mismatch | Source=46.0 Calculated=28.7 Difference=17.30
ABB | ROCE mismatch | Source=46.0 Calculated=31.01 Difference=14.99
ABB | ROCE mismatch | Source=46.0 Calculated=31.01 Difference=14.99
ABB | ROCE mismatch | Source=46.0 Calculated=30.13 Difference=15.87
ABB | ROCE mismatch | Source=46.0 Calculated=30.13 Difference=15.87
ABB | ROCE mismatch | Source=46.0 Calculated=29.05 Difference=16.95
ABB | ROCE mismatch | Source=46.0 Calculated=29.05 Difference=16.95
ABB | ROCE mismatch | Source=46.0 Calculated=33.47 Difference=12.53
ABB | ROCE mismatch | Source=46.0 Calculated=33.47 Difference=12.53
ABB | ROCE mismatch | Source=46.0 Calculated=36.41 Difference=9.59
ABB | ROCE mismatch | Source=46.0 Calculated=36.41 Difference=9.59
ABB | ROCE mismatch | Source=46.0 Calculated=36.53 Difference=9.47
ABB | ROCE mismatch | Source=46.0 Calculated=36.53 Difference=9.47
ABB | ROCE mismatch | Source=46.0 Calculated=38.42 Difference=7.58
ABB | ROCE mismatch | Source=46.0 Calculated=38.42 Difference=7.58
ADANIENSOL | ROCE mismatch | Source=9.0 Calculated=0.0 Difference=9.00
ADANIENSOL | ROCE mismatch | Source=9.0 Calculated=0.94 Difference=8.06
ADANIENSOL | ROCE mismatch | Source=9.0 Calculated=17.12 Difference=8.12
ADANIENSOL | ROCE mismatch | Source=9.0 Calculated=16.63 Difference=7.63
ADANIENSOL | ROCE mismatch | Source=9.0 Calculated=17.14 Difference=8.14
ADANIENT | ROCE mismatch | Source=11.6 Calculated=5.17 Difference=6.43
ADANIENT | ROCE mismatch | Source=11.6 Calculated=5.44 Difference=6.16
ADANIENT | ROCE mismatch | Source=11.6 Calculated=6.23 Difference=5.37
ADANIENT | ROCE mismatch | Source=11.6 Calculated=5.82 Difference=5.78
ADANIGREEN | ROCE mismatch | Source=96.5 Calculated=7.26 Difference=89.24
ADANIGREEN | ROCE mismatch | Source=96.5 Calculated=7.52 Difference=88.98
ADANIGREEN | ROCE mismatch | Source=96.5 Calculated=11.67 Difference=84.83
ADANIGREEN | ROCE mismatch | Source=96.5 Calculated=8.42 Difference=88.08
ADANIGREEN | ROCE mismatch | Source=96.5 Calculated=8.49 Difference=88.01
ADANIGREEN | ROCE mismatch | Source=96.5 Calculated=6.33 Difference=90.17
ADANIGREEN | ROCE mismatch | Source=96.5 Calculated=8.08 Difference=88.42
ADANIGREEN | ROCE mismatch | Source=96.5 Calculated=9.8 Difference=86.70
ADANIPOWER | ROCE mismatch | Source=32.2 Calculated=2.08 Difference=30.12
